Site Type,Recorded Sites
"tavern, inn, isolated grave",1
"tobacco factory, rural domesticmultiple features",1
"town, rural domesticmultiple features, cemetery",1
"rural domestic, road",1
transportation,1
university,1
untyped historic scatter (3 minnie balls),1
untyped historic scatter (CW period button and pocket watch case),1
"untyped historic scatter (patent medicine bottle frags, purple)",1
"untyped stone structure, moonshine still",1
untyped structure,1
"stone quarry, rural domestic farmstead",1
"stone quarry, road, dump",1
"stone quarry, Urban domestic, road, bridge, untyped structure",1
"school, well",1
"rural domestic, rr spur",1
"rural domestic, untyped structure, cemetery",1
"rural domestic, untyped structure, dump",1
"rural domestic, untyped structure, road",1
"rural domesticmultiple features, blacksmith shop",1
"rural domesticmultiple features, brick kiln, road",1
"rural domesticmultiple features, bridge",1
"rural domesticmultiple features, cemetery",1
"rural domesticmultiple features, mine_indeterminate, private cemetery, road",1
"rural domesticmultiple features, private cemetery, rr spur",1
"rural domesticmultiple features, rock shelter, religious",1
"sawmill, rural domestic scatter",1
"school, church, rural domestic untyped structure",1
"school, private cemetery",1
"school, springhouse",1
"rural domestic plantation, road",1
"rural domestic plantation, private cemetery, military short term encampment",1
"rural domestic plantation, military, inn, university",1
"rural domestic house, barn, springhouse, well, cistern, untyped structure, inn, university",1
"rural domestic farmstead, springhouse, road",1
"rural domestic farmstead, store",1
"rural domestic farmstead, tavern, shipyard",1
"rural domestic farmstead, untyped structure, road",1
rural domestic fence or miltary breastworks,1
"rural domestic house, barn, road",1
"rural domestic house, barn, springhouse",1
"rural domestic house, barn, well, cistern",1
"rural domestic house, farmstead,  private cemetery",1
"rural domestic house, blacksmith shop",1
"rural domestic house, bridge",1
"rural domestic house, cave",1
"rural domestic house, cellar, cistern, untyped structure, road, check dam, sorghum mill",1
"rural domestic house, cistern,  private cemetery",1
"rural domestic house, cistern, military earthwork, hospital, headquarters",1
"rural domestic house, cistern, untyped stone structure (piles)",1
"rural domestic farmstead, springhouse, dump",1
"rural domestic farmstead, rock shelter",1
"rural domestic farmstead, rendering vat",1
"rural domestic farmstead, private cemetery, store",1
"rural domestic farmstead, brickmaking",1
"rural domestic farmstead, bridge",1
"rural domestic farmstead, cemetery, millindeterminate",1
"rural domestic farmstead, cistern, cotton gin",1
"rural domestic farmstead, ferry, road",1
"rural domestic farmstead, gunsmith",1
"rural domestic farmstead, home industryblacksmith shop",1
"rural domestic farmstead, house",1
"rural domestic farmstead, house, barn, cistern, untyped structure, untyped stone structure, cellar, check dam",1
"rural domestic farmstead, house, barn, untyped stone structure (stone piles and walls), cellar, check dams",1
"rural domestic farmstead, mill",1
"rural domestic farmstead, mineindeterminate",1
"rural domestic farmstead, plantation, cistern",1
"rural domestic farmstead, private cemetery, ferry",1
"rural domestic farmstead, private cemetery, military",1
"rural domestic house, cistern, untyped stone structure (piles), check dams",1
"rural domestic house, farmstead,  public cemetery",1
"rural domestic plantation, cistern",1
"rural domestic house, untyped structure, cellar, militaryfrontier station (unconfirmed)",1
"rural domestic house, springhouse, cistern, untyped structure, road",1
"rural domestic house, springhouse, untyped structure",1
"rural domestic house, tanyard",1
"rural domestic house, tollgate",1
"rural domestic house, untyped stone structure",1
"rural domestic house, untyped stone structure (piles)",1
"rural domestic house, untyped structure (cellar)",1
"rural domestic house, untyped structure, cemetery",1
"millwoolen, rural domestic house",1
"rural domestic house, untyped structure, cistern, cellar, check dam, untyped stone structure",1
"rural domestic house, well, cistern, untyped structure",1
"rural domestic house, well, private cemetery",1
"rural domestic house, well, untyped structure, road",1
"rural domestic plantation, barn, well, private cemetery",1
"rural domestic plantation, boat landing",1
"rural domestic plantation, cemetery",1
"rural domestic house, springhouse, cistern",1
"rural domestic house, railroad spur, road",1
"rural domestic house, plantation, barn, springhouse",1
"rural domestic house, moonshine still, private cemetery",1
"rural domestic house, farmstead, barn, private cemetery, public cemetery, militaryshort term encampment",1
"rural domestic house, farmstead, barn, well, cistern, untyped structure",1
"rural domestic house, farmstead, cistern",1
"rural domestic house, farmstead, millgrist",1
"rural domestic house, farmstead, springhouse, untyped structure",1
"rural domestic house, farmstead, state capitol",1
"rural domestic house, farmstead, untyped stone structure (fence)",1
"rural domestic house, farmstead, well, untyped structure, private cemetery",1
"rural domestic house, ferry, boat wreck",1
"rural domestic house, ferry, road",1
"rural domestic house, home industrycotton gin",1
"rural domestic house, home industrymoonshine still",1
"rural domestic house, home industrysorghum mill",1
"rural domestic house, lime kiln, private cemetery",1
"rural domestic house, millsaw",1
"miltaryheadquarters, earthwork",1
"militaryshort term hospital, rural domestic farmstead",1
millwoolen,1
"industrial, town, warehouse",1
"industrialpottery, commercial_pottery",1
"inn, abandoned town, rural domestic house, dump",1
"iron furnace, iron foundry",1
"iron furnace, untyped historic scatter",1
iron nailery,1
"ironfoundry, store, tavern, inn, post office, rr depot",1
"ironfurnace, boat landing",1
"ironfurnace, brick kiln, lock-dam",1
"jail, mental hospital, rural domestic farmstead, public cemetery",1
lock/dam,1
"lumbering operation, church, Urban domestic house",1
"lumbering operation, cistern, other",1
"lumbering operation, company town",1
"lumbering operation, dump, untyped historic scatter",1
"lumbering operation, untyped historic scatter",1
"medicalclinic, cotton gin",1
"medicalmental hospital, rural domestic farmstead, private cemetery",1
"military frontier station, headquarters, rural domestic farmstead",1
military long term encampment,1
"industrial, warehouse, boat landing",1
"industrial, rural domestic house",1
"military, abandoned town, rural domesticmultiple features",1
"industrial, rr depot, rural domestic house, cistern",1
"home industryfurniture shop, tanyard, rural domestic house",1
"home industrygunsmith, Urban domestic house",1
"home industrygunsmith, rural domestic farmstead",1
"home industrygunsmith, rural domestic house",1
